id,age,job,marital,education,default,housing,loan,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscription
1,37,services,married,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
2,45,services,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
3,59,admin.,married,professional.course,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
4,41,blue-collar,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
5,24,technician,single,professional.course,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
6,41,blue-collar,married,,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
7,29,blue-collar,single,high.school,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
8,54,retired,married,basic.9y,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
9,35,blue-collar,married,basic.6y,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
10,46,blue-collar,married,basic.6y,,yes,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
11,30,unemployed,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
12,41,technician,single,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
13,35,technician,married,university.degree,no,no,yes,1,,0,,1.1,93.994,-36.4,4.857,5191,no
14,59,technician,married,,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
15,39,self-employed,married,basic.9y,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
16,54,management,married,basic.4y,,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
17,54,blue-collar,divorced,basic.4y,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
18,34,services,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
19,41,admin.,married,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
20,58,management,,university.degree,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
21,32,entrepreneur,married,high.school,no,yes,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
22,42,technician,single,professional.course,,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
23,45,blue-collar,married,basic.9y,no,yes,no,2,,0,,1.1,93.994,-36.4,4.857,5191,no
24,54,admin.,married,high.school,no,no,no,1,,0,,1.1,93.994,-36.4,4.857,5191,no
